ThaiName,EnglishName,Type
  กรีซ,Greece,place
  กรีนแลนด์,Greenland,place
  กวม,Guam,place
  กัมพูชา,Cambodia,place
  กัวเดอลุป,Guadeloupe,place
  กัวเตมาลา,Guatemala,place
  กาตาร์,Qatar,place
  กานา,Ghana,place
  กาบอง,Gabon,place
  กายอานา,Guyana,place
  กินี,Guinea,place
  กินี-บิสเซา,Guinea-Bissau,place
  กือราเซา,Curaçao,place
  เกรเนดา,Grenada,place
  เกาหลีใต้,South Korea,place
  เกาหลีเหนือ,North Korea,place
  เกาะกลีแปร์ตอน,Clipperton Island,place
  เกาะคริสต์มาส,Christmas Island,place
  เกาะจาร์วิส,Jarvis Island,place
  เกาะเซาท์จอร์เจียและหมู่เกาะเซาท์แซนด์วิช,South Georgia and the South Sandwich Islands,place
  เกาะนอร์ฟอล์ก,Norfolk Island,place
  เกาะนาแวสซา,Navassa Island,place
  เกาะบูแว,Bouvet Island,place
  เกาะเบเกอร์,Baker Island,place
  เกาะเวก,Wake Island,place
  เกาะฮาวแลนด์,Howland Island,place
  เกาะเฮิร์ดและหมู่เกาะแมกดอนัลด์,Heard Island and McDonald Islands,place
  เกิร์นซีย์,Guernsey,place
  แกมเบีย,The Gambia,place
  ควีนมอดแลนด์,Queen Maud Land,place
  คอซอวอ,Kosovo,place
  คอโมโรส,Comoros,place
  คอสตาริกา,Costa Rica,place
  คิงแมนรีฟ,Kingman Reef,place
  คิริบาส,Kiribati,place
  คิวบา,Cuba,place
  คีร์กีซสถาน,Kyrgyzstan,place
  คูเวต,Kuwait,place
  เคนยา,Kenya,place
  แคนาดา,Canada,place
  แคเมอรูน,Cameroon,place
  โครเอเชีย,Croatia,place
  โคลอมเบีย,Colombia,place
  จอร์แดน,Jordan,place
  จอห์นสตันอะทอลล์,Johnston Atoll,place
  จาเมกา,Jamaica,place
  จิบูตี,Djibouti,place
  จีน,China,place
  เจอร์ซีย์,Jersey,place
  ชาด,Chad,place
  ชิลี,Chile,place
  ชิเลียนแอนตาร์กติกเทร์ริทอรี,Chilean Antarctic Territory,place
  เช็กเกีย,Czechia,place
  ซานมารีโน,San Marino,place
  ซามัว,Samoa,place
  ซาอุดีอาระเบีย,Saudi Arabia,place
  ซินต์มาร์เติน,Sint Maarten,place
  ซิมบับเว,Zimbabwe,place
  ซีเรีย,Syria,place
  ซูดาน,Sudan,place
  ซูรินาม,Suriname,place
  เซเชลส์,Seychelles,place
  เซนต์ลูเชีย,Saint Lucia,place
  เซนต์วินเซนต์และเกรนาดีนส์,Saint Vincent and the Grenadines,place
"  เซนต์เฮเลนา อัสเซนชัน
และตริสตันดากูนยา","Saint Helena, Ascension,
and Tristan da Cunha",place
  เซเนกัล,Senegal,place
  เซร์รานียาแบงก์,Serranilla Bank,place
  เซวตา,Ceuta,place
  เซอร์เบีย,Serbia,place
  เซาตูเมและปรินซีปี,São Tomé and Príncipe,place
  เซาท์ซูดาน,South Sudan,place
  เซาท์ออสซีเชีย,South Ossetia,place
  เซาท์ออสซีเชีย,South Ossetia,place
  เซียร์ราลีโอน,Sierra Leone,place
  แซ็ง-บาร์เตเลมี,Saint-Barthélemy,place
  แซ็ง-มาร์แต็ง,Saint-Martin,place
  แซ็งปีแยร์และมีเกอลง,Saint-Pierre and Miquelon,place
  แซมเบีย,Zambia,place
  โซมาลีแลนด์,Somaliland,place
  โซมาลีแลนด์,Somaliland,place
  โซมาเลีย,Somalia,place
  ญี่ปุ่น,Japan,place
  ดอมินีกา,Dominica,place
  เดนมาร์ก,Denmark,place
  ตองงา,Tonga,place
  ตูนิเซีย,Tunisia,place
  ตูวาลู,Tuvalu,place
  เติร์กเมนิสถาน,Turkmenistan,place
  โตโก,Togo,place
  ไต้หวัน,Taiwan,place
  ไต้หวัน,Taiwan,place
  ไต้หวัน,Taiwan,place
  ทรานส์นีสเตรีย,Transnistria,place
  ทรานส์นีสเตรีย,Transnistria,place
  ทาจิกิสถาน,Tajikistan,place
  แทนซาเนีย,Tanzania,place
  โทเคอเลา,Tokelau,place
  ไทย,Thailand,place
  นครรัฐวาติกัน,Vatican City State,place
  นอร์เทิร์นไซปรัส,Northern Cyprus,place
  นอร์เทิร์นไซปรัส,Northern Cyprus,place
  นอร์เวย์,Norway,place
  นากอร์โน-คาราบัค,Nagorno-Karabakh,place
  นากอร์โน-คาราบัค,Nagorno-Karabakh,place
  นากอร์โน-คาราบัค,Nagorno-Karabakh,place
  นามิเบีย,Namibia,place
  นาอูรู,Nauru,place
  นิการากัว,Nicaragua,place
  นิวแคลิโดเนีย,New Caledonia,place
  นิวซีแลนด์,New Zealand,place
  นีวเว,Niue,place
  เนเธอร์แลนด์,Netherlands,place
  เนเธอร์แลนด์,Netherlands,place
  เนปาล,Nepal,place
  ไนจีเรีย,Nigeria,place
  ไนเจอร์,Niger,place
  บราซิล,Brazil,place
  บริติชอินเดียนโอเชียนเทร์ริทอรี,British Indian Ocean Territory,place
  บริติชแอนตาร์กติกเทร์ริทอรี,British Antarctic Territory,place
  บรูไนดารุสซาลาม,Brunei Darussalam,place
  บอตสวานา,Botswana,place
  บอสเนียและเฮอร์เซโกวีนา,Bosnia and Herzegovina,place
  บังกลาเทศ,Bangladesh,place
  บัลแกเรีย,Bulgaria,place
  บาร์เบโดส,Barbados,place
  บาห์เรน,Bahrain,place
  บาฮามาส,Bahamas,place
  บาโฮนวยโวแบงก์,Bajo Nuevo Bank,place
  บุรุนดี,Burundi,place
  บูร์กินาฟาโซ,Burkina Faso,place
  เบนิน,Benin,place
  เบลเยียม,Belgium,place
  เบลารุส,Belarus,place
  เบลีซ,Belize,place
  เบอร์มิวดา,Bermuda,place
